date,industry,lprod,gva,labour
2017,N: 77 to 82,99.8555,99.4663,99.6102
2018,N: 77 to 82,98.9538,99.541,100.5934
2019,N: 77 to 82,100.0,100.0,100.0
2020,N: 77 to 82,102.4711,88.9758,86.8302
2021,N: 77 to 82,103.5787,99.1419,95.7165
1997,O: 84,69.8277,77.195,110.5507
1998,O: 84,71.9642,78.8872,109.62
1999,O: 84,70.7557,80.0814,113.1801
2000,O: 84,71.0166,79.0293,111.2828
2001,O: 84,73.8004,81.8595,110.92
2002,O: 84,71.8475,81.3625,113.2434
2003,O: 84,69.6994,81.5813,117.0475
2004,O: 84,70.4414,83.7919,118.9527
2005,O: 84,72.1127,86.1252,119.4313
2006,O: 84,73.7527,87.482,118.6153
2007,O: 84,74.1829,88.3787,119.1362
2008,O: 84,77.333,89.2958,115.4693
2009,O: 84,79.775,92.7119,116.2167
2010,O: 84,78.0015,91.1342,116.8365
2011,O: 84,84.2252,92.173,109.4364
2012,O: 84,84.7523,90.762,107.091
2013,O: 84,84.8238,88.9911,104.913
2014,O: 84,87.3459,88.7406,101.5968
2015,O: 84,89.8788,88.619,98.5982
2016,O: 84,94.7102,91.991,97.1289
2017,O: 84,96.8602,94.1178,97.1686
2018,O: 84,96.6725,94.9981,98.268
2019,O: 84,100.0,100.0,100.0
2020,O: 84,92.7851,95.1382,102.5361
2021,O: 84,89.3508,97.4265,109.0381
1997,P: 85,136.3482,93.3467,68.4619
1998,P: 85,139.1384,94.2962,67.7715
1999,P: 85,134.7565,96.0322,71.2635
2000,P: 85,132.1399,97.245,73.5925
2001,P: 85,131.1599,97.6964,74.4865
2002,P: 85,123.036,94.6782,76.9516
2003,P: 85,116.4138,92.9262,79.8241
2004,P: 85,114.2104,93.7621,82.0959
2005,P: 85,109.4382,92.627,84.6386
2006,P: 85,104.2182,89.9255,86.2858
2007,P: 85,103.9104,89.2685,85.9092
2008,P: 85,101.3293,87.6161,86.4666
2009,P: 85,98.827,86.0982,87.1201
2010,P: 85,96.849,85.2373,88.0104
2011,P: 85,99.0094,88.1134,88.995
2012,P: 85,97.8088,90.7438,92.7767
2013,P: 85,93.8514,88.5773,94.3804
2014,P: 85,91.4787,88.8473,97.1235
2015,P: 85,91.5424,89.9531,98.2639
2016,P: 85,90.1579,89.3454,99.0988
2017,P: 85,91.6583,89.8679,98.0466
2018,P: 85,94.922,94.0237,99.0536
2019,P: 85,100.0,100.0,100.0
